2025-01-13 20:37:57,549 - INFO - [Increment Mode] START CRAWLING DATA FROM DANGDANG!
2025-01-13 20:38:02,979 - INFO - [Increment Mode] 第2页第48条数据已存在,跳过!
2025-01-13 20:38:02,979 - INFO - [Increment Mode] 第2页第49条数据已存在,跳过!
2025-01-13 20:38:02,979 - INFO - [Increment Mode] 第2页第50条数据已存在,跳过!
2025-01-13 20:38:02,979 - INFO - [Increment Mode] 第2页第51条数据已存在,跳过!
2025-01-13 20:38:02,979 - INFO - [Increment Mode] 第2页第52条数据已存在,跳过!
2025-01-13 20:38:02,980 - INFO - [Increment Mode] 第2页第53条数据已存在,跳过!
2025-01-13 20:38:02,980 - INFO - [Increment Mode] 第2页第54条数据已存在,跳过!
2025-01-13 20:38:02,980 - INFO - [Increment Mode] 第2页第55条数据已存在,跳过!
2025-01-13 20:38:02,980 - INFO - [Increment Mode] 第2页第56条数据已存在,跳过!
2025-01-13 20:38:02,981 - INFO - [Increment Mode] 第2页第57条数据已存在,跳过!
2025-01-13 20:38:02,981 - INFO - [Increment Mode] 第2页第58条数据已存在,跳过!
2025-01-13 20:38:02,981 - INFO - [Increment Mode] 第2页第59条数据已存在,跳过!
2025-01-13 20:38:02,982 - INFO - [Increment Mode] 第2页第60条数据已存在,跳过!
2025-01-13 20:38:02,982 - INFO - [Increment Mode] 第2页采集完成
2025-01-13 20:38:05,295 - INFO - [Increment Mode] 检测到已登录, 开始采集数据
2025-01-13 20:38:05,349 - INFO - [Increment Mode] 第3页第1条数据已存在,跳过!
2025-01-13 20:38:05,350 - INFO - [Increment Mode] 第3页第2条数据已存在,跳过!
2025-01-13 20:38:05,350 - INFO - [Increment Mode] 第3页第3条数据已存在,跳过!
2025-01-13 20:38:05,350 - INFO - [Increment Mode] 第3页第4条数据已存在,跳过!
2025-01-13 20:38:05,350 - INFO - [Increment Mode] 第3页第5条数据已存在,跳过!
2025-01-13 20:38:05,350 - INFO - [Increment Mode] 第3页第6条数据已存在,跳过!
2025-01-13 20:38:05,351 - INFO - [Increment Mode] 第3页第7条数据已存在,跳过!
2025-01-13 20:38:05,351 - INFO - [Increment Mode] 第3页第8条数据已存在,跳过!
2025-01-13 20:38:05,351 - INFO - [Increment Mode] 第3页第9条数据已存在,跳过!
2025-01-13 20:38:05,352 - INFO - [Increment Mode] 第3页第10条数据已存在,跳过!
2025-01-13 20:38:05,352 - INFO - [Increment Mode] 第3页第11条数据已存在,跳过!
2025-01-13 20:38:05,352 - INFO - [Increment Mode] 第3页第12条数据已存在,跳过!
2025-01-13 20:38:05,352 - INFO - [Increment Mode] 第3页第13条数据已存在,跳过!
2025-01-13 20:38:05,353 - INFO - [Increment Mode] 第3页第14条数据已存在,跳过!
2025-01-13 20:38:05,353 - INFO - [Increment Mode] 第3页第15条数据已存在,跳过!
2025-01-13 20:38:05,353 - INFO - [Increment Mode] 第3页第16条数据已存在,跳过!
2025-01-13 20:38:05,353 - INFO - [Increment Mode] 第3页第17条数据已存在,跳过!
2025-01-13 20:38:05,354 - INFO - [Increment Mode] 第3页第18条数据已存在,跳过!
